id	minutes	views	in_corpus	title
7JAhiRM3Xi0	35	145000	no	The BIG BAD BONK - BG3 Karlach Giant Barbarian / Monk Honour Build Guide
Ug3v70aRAIM	42	278000	no	The NEW BEST HEALER in Baldur's Gate 3 - Shadowheart Honour Build Guide
uY-RJbv0DhY	37	57000	no	The TRUE COMBAT MASTER - BG3 Astarion Rogue / Monk Honour Build Guide
jyRaTJAF0eQ	38	148000	no	The BEST ASTARION BUILD in BG3 - [Updated] Lore Friendly Arcane Trickster Honour Build Guide
jghv0nkj5fQ	38	414000	no	The ULTIMATE WIZARD - BG3 Honour Mode Abjuration Magic Missile Gale Build Guide
Uo6a4DvLpEI	33	28000	no	The ASTRONOMER ROYAL - BG3 Jaheira / Gale Druid / Wizard Honour Build Guide
HCw3o37ZZaI	49	222000	yes	PATCH 8 FUN TIERLIST - Baldur's Gate 3 Class Tier List
q5Vl0RppIpE	30	170000	yes	The MOST UNDERRATED SPELLS in Baldur's Gate 3 - Five Hidden Gems You Should Use More
xc7MQWpM-Ok	35	76000	no	The SHADOWBLASTER - BG3 Wyll Warlock / Rogue / Fighter Honour Build Guide
nxaCXzHnqKI	39	67000	no	The BEST SWARMKEEPER RANGER In Baldur's Gate 3 - Minsc Honour Build Guide
CG_sWreGmqc	32	89000	no	The DEATH DEALER - BG3 Shadowheart Cleric / Druid Necromancer Honour Build Guide
JDPCUMrtdZs	38	45000	no	The MAGIC MACHINE GUN - BG3 Astarion Rogue / Bard / Wizard Honour Build Guide
gLa0L5azaFc	34	125000	no	The GLAIVEMASTER - Ultimate Control Fighter - BG3 Lae'zel / Astarion Honour Build Guide
s50sTy53DZw	74	377000	no	The BEST PATCH 8 PARTY In Baldur's Gate 3 - Honor Mode Full Party Build Guide
rNxt8FtWt8U	41	201000	no	ONESHOT KILLS WITHOUT DICE - [Updated] BG3 Honour Mode Magic Missile Gale / Wizard Build Guide
8IzGwW6wyYE	35	177000	no	The BEST GIANT BARBARIAN In Baldur's Gate 3 - Karlach Honour Build Guide
XepUM_mU1qY	45	305000	yes	EVEN MORE BROKEN - [Re-Updated] BG3 Minthara / Wyll Paladin / Warlock Honour Build Guide
qLeu78raDwo	36	192000	no	The BEST SWASHBUCKLER ROGUE In Baldur's Gate 3 - Astarion Honour Build Guide
CX5U7xb3QmI	42	399000	no	The NEW BEST FIGHTER in Baldur's Gate 3 - [Re-Updated] Lae'zel Honour Build Guide
T28g72ruhTQ	38	104000	no	The BEST CROWN PALADIN In Baldur's Gate 3 - Minthara Honour Build Guide
kF5qPE6RxxY	45	83000	no	The BEST GLAMOUR BARD In Baldur's Gate 3 - Honour Build Guide
Bd_BIssZ9AI	34	67000	no	BG3's OLDEST Bug Fixed - Hotfix 30 Made These 3 Polearm Builds Awesome
atS09qwyr6w	41	159000	no	The BEST ARCANE ARCHER In Baldur's Gate 3 - Lae'zel / Astarion Honour Build Guide
vDfdzd8N718	45	241000	no	The BEST SHADOW SORCERER In Baldur's Gate 3 - Honour Build Guide
xV_IA6s-mhI	46	170000	no	The BEST STAR DRUID In Baldur's Gate 3 - Halsin / Jaheira Honour Build Guide
UajN50mwH6g	40	269000	no	The BEST DEATH CLERIC In Baldur's Gate 3 - Shadowheart Honour Build Guide
BqgaPpUtt1o	43	227000	no	The BEST BLADESINGING WIZARD In Baldur's Gate 3 - Gale Honour Build Guide
2p2QqzNsfec	47	395000	no	The BEST WARLOCK in Baldur's Gate 3 - [Updated] Patch 8 Wyll Hexblade Honour Build Guide
LIQUmjW5G4A	50	24000	no	MASSIVE PATCH 8 UPDATE - New Subclasses, Photo Mode, Crossplay, and More! - BG3 Patch Note Review
GgvHET0MeMo	42	164000	no	My FAVORITE NEW SUPPORT CHARACTER - BG3 Patch 8 Glamour Bard / Star Druid Honour Build Guide
dAkTbnqv31A	39	126000	no	The NEW BEST WILDSHAPER - BG3 Patch 8 Jaheira / Halsin Ranger / Druid Honour Build Guide
daFDUz7llHA	61	45000	no	What NEEDS TO CHANGE In Patch 8 Before Launch? - Baldur's Gate 3
4gXTnk62AcQ	34	20000	yes	The BEST FOOD AND DRINKS In Baldur's Gate 3 - Honour Mode Guide
fiGILQiBgQs	77	118000	yes	NEW SUBCLASS MULTICLASS TIER LIST - BG3 Honour Mode Guide
2SrRFUY4ORg	38	24000	no	Is DRUNKEN MASTER GOOD NOW? - BG3 Patch 8 Update 3 - Patch Note Review, Tests, and Builds
7PBZNeRmGn8	37	45000	no	The WILD HEXRAGER - BG3 Patch 8 Karlach Wild Magic Barbarian / Hexblade Honour  Build Guide
6NjeSgH0i8A	40	97000	no	The DARK JUSTICIAR - BG3 Patch 8 Shadowheart Lore-Friendly Honour Build Guide
B9QWSmbl7Eg	80	411000	yes	NEW SUBCLASS TIER LIST - Single Class Characters -  BG3 Honour Mode Guide
9qa8wa1WEVg	41	74000	no	EVERY BROKEN ABILITY - Patch 8 BG3 Paladin / Rogue / Warlock Honour Build Guide
zIiqb32iN9w	28	32000	no	5 WILD TRICKS & Exploits With The New Classes - BG3 Honour Patch 8 Guide (+ Bonus Combat Tip)
_O2ITrAlWYY	33	36000	no	BLIND AND BANISH - Patch 8 BG3 Minsc Arcane Archer / Swarmkeeper Honour Build Guide
zo_0UaLG6Jw	31	89000	no	The DAUGHTER OF TWILIGHT - Patch 8 BG3 Shadowheart Death Cleric / Star Druid Honour Build Guide
zCr7a_Jo8sw	32	35000	no	The GLAMOUR COMMANDER - Patch 8 BG3 Wyll Warlock / Bard / Rogue Honour Build Guide
0CbK5ufVk-g	75	48000	no	COMPLETE NEW SUBCLASSES REVIEW - Patch 8 Tests & Builds - P4: Shadow, Hexblade, Bladesinging
jK8TNNH1GuE	53	39000	no	COMPLETE NEW SUBCLASSES REVIEW - Patch 8 Tests & Builds - P3: Crown, Swarmkeeper, Swashbuckler
SWHxqAGsbV8	53	38000	no	COMPLETE NEW SUBCLASSES REVIEW - Patch 8 Tests & Builds - P2: Stars, Arcane Archer, Drunken Master
Y0UYsOrQRos	55	70000	no	COMPLETE NEW SUBCLASSES REVIEW - Patch 8 Subclass Tests & Builds - Part 1: Giant, Glamour, Death
IZgvy5zi7y8	39	22000	no	The HIGHEST POSSIBLE DAMAGE - 1 turn, 16000+ AOE Damage Without Exploits - BG3 Build Guide
6mJzKIIE3v0	40	61000	no	The BEST SUPPORT CHARACTER in Baldur's Gate 3 - Shadowheart Bard / Cleric Honour Build Guide
FwLyEIZGD8g	44	28000	no	The FASTEST POSSIBLE CHARACTER - 7 TIMES The Speed of Sound Without Exploits - BG3 Build Guide
6E0fCeYJgo8	28	27000	no	TEN AMAZING NEW MODS for Consoles / Macs / PC - BG3 Mod Highlights January 2025
nrTSroBA4eI	33	42000	no	DO IT ALL - Bg3 Astarion Archer Honour Build Guide - Damage, Control, Utility, and Power!
WE8_0fvPuCI	30	552000	no	The HIGHEST POSSIBLE AC - 57 AC Without Exploits - BG3 Honour Build Guide
YliiOwzCzl0	31	39000	no	The EASIEST Honour Mode Character - Bg3 Lae'zel Fighter Archer Honour Build Guide
pn07epGI0VY	30	34000	no	Clerics Can Do ANYTHING - Shadowheart Knowledge Domain Honour Build Guide
1baj3OjgtIg	34	15000	no	BLOOD IS POWER - Blood Sorcerer Honour Guide - Modded Bg3
9oLgl6TJGoo	34	40000	no	The SAVAGE SLAYER - BG3 Honour Mode Karlach Barbarian / Rogue Lockdown Honour Build Guide
s4wEu6h-J2o	40	87000	no	The BEST SPORE DRUID in Baldur's Gate 3 - Detailed Jaheira / Halsin Honour Build Guide
1LpKQyZMFdQ	36	16000	no	The TERRIFYING TYRANT - Oath of Conquest Minthara / Paladin Honour Guide - Modded Bg3
bO6WRR2AoKM	32	133000	no	The REAL Best Wizard in Baldur's Gate 3 - [Updated] Gale Honour Build Guide
AUdxb2JOMsI	34	12000	no	The ULTIMATE SUPPORT Character - Modded Bg3 - Celestial Warlock Honour Guide
bLfOVWDhFNo	35	28000	no	The PERFECT Shadowheart Class We SHOULD Have Gotten - Modded Bg3 - Twilight Cleric Honour Guide
AUen9F3vQv0	27	16000	no	The DRUNKEN PUMMELER, Or, Momma K's Big Day Out - BG3 Barbarian / Karlach Honour Build Guide
NQ3Vt7hPBJU	64	69000	yes	The BEST WEAPONS in Baldur's Gate 3 - Act 3 Top 20 Honour Mode Guide
3R0lRrJwZjk	58	78000	yes	The 20 BEST WEAPONS in Act 2 - Baldur's Gate 3 Honour Mode Guide
FxGM0vWRtNY	65	156000	yes	The 20 BEST WEAPONS in Act 1 - Baldur's Gate 3 Honour Mode Guide
VlGwSvFhajw	28	21000	no	TEN MORE AWESOME MODS for Consoles / Macs / PC - BG3 Mod Highlights December 2024
MuodaDzKp98	36	24000	no	The MOST TERRIFYING Dark Urge in BG3 - The EVIL CLOWN - Minthara / Dark Urge Honour Build Guide
5TBYckwEPEo	36	74000	no	12 NEW SUBCLASSES Preview - BG3 Announces MASSIVE Patch 8 - What Can We Expect?
hhbxLbwDenw	50	47000	yes	The STRONGEST WEAPONS in BG3 - Versatile Weapons Honor Mode Tier List and Guide - Act 2&3
6bdWlo4PgeA	40	57000	yes	The BEST WEAPON TYPE in BG3 - Versatile Weapons Honor Mode Tier List and Guide - Act 1
l-JwEaRPd2s	29	45000	no	NATURE'S BLENDER - BG3 Lore Friendly Jaheira Melee Druid / Ranger / Rogue Honour Build Guide
xt7Eq1-Bzd8	59	64000	yes	The BEST ONE HANDED WEAPONS in Baldur's Gate 3 - Honor Mode Tier List and Guide
KDm8gV_7sK4	32	28000	no	The BARBED BLADE - BG3 Honour Mode Karlach Barbarian / Warlock Retaliation Tank Build Guide
jwuRyGKRxXk	67	121000	yes	The BEST TWO HANDED WEAPONS in Baldur's Gate 3 - Honor Mode Tier List and Guide
5UFoWD3Uwis	33	44000	no	The INSTANT OBLITERATOR - BG3 Honour Mode Astarion / Bard Archer Assassin Build Guide
sHJ9iLXucM8	32	41000	no	TOP TEN MODS In The MASSIVE New Mod Drop for Consoles / Macs / PC - BG3 Best Mods Review
GunWjIpdxb0	60	89000	yes	The BEST POLEARMS in Baldur's Gate 3 - Honor Mode Tier List and Guide
yQdBGXPhKS8	33	79000	no	ONESHOT KILLS WITHOUT DICE - BG3 Honour Mode Magic Missile Gale / Wizard Build Guide
nmFK4uJQfC8	66	57000	yes	The BEST SIMPLE WEAPONS in Baldur's Gate 3 - Honor Mode Tier List and Guide
dSCVszL7UC0	30	26000	no	The ONE MAN BAND - BG3 Honour Mode Valour Bard Thrower Build Guide
vwrZnVX1UFs	33	91000	no	The INVINCIBLE ICE KNIGHT - BG3 Honour Mode Solo Build Guide
seZJlJ9tvag	57	115000	yes	The BEST STAVES in Baldur's Gate 3 - Honor Mode Tier List and Guide
OVl0tHbmwK0	48	60000	yes	The BEST ROGUE WEAPONS in Baldur's Gate 3 - Honor Mode Tier List and Guide - Part 2
jeSeVkmqmuc	39	72000	yes	The BEST STABBING WEAPONS in Baldur's Gate 3 - Honor Mode Tier List and Guide - Part 1
mjjWeMh_7pg	39	40000	no	The MOST BROKEN BUILD I've Ever Made - Modded Bg3 - Spellblade Wizard Honour Guide
otTGzNc4xXw	59	187000	yes	The BEST BOWS in Baldur's Gate 3 - Honor Mode Tier List and Guide
7DNWPG6qJiM	28	32000	no	The WILD MAGESLAYER - Lore Friendly Karlach Wild Magic Barbarian Honour Build Guide
Y4t302HIm3g	46	43000	no	EVERY MOD for Console/PC/Mac Reviewed - Baldur's Gate 3 Patch 7 Mod Review - Best Mods
JnWkqR-N0vM	58	94000	yes	The 20 BEST ITEMS in Act 3 - Baldur's Gate 3 Honour Mode Guide - Best In Slot Endgame Items!
yQLYmv9AQPg	60	121000	yes	The 20 BEST ITEMS in Act 2 - Baldur's Gate 3 Honour Mode Guide
X2xy8yw6ZlM	56	249000	yes	The 20 BEST ITEMS in Act 1 - Baldur's Gate 3 Honour Mode Guide
uGORSKsV3b0	72	121000	no	The MOST FUN PARTY In Baldur's Gate 3 - Honour Mode Full Party Build Guide
j7RJ9x2lNZ8	36	37000	no	The VALIANT DEFENDER - A BG3 Valour Bard Honor Build Guide (Yes, Really!)
FqDSlLv9HkQ	34	37000	yes	ULTIMATE Guide to Rings - BG3 Honor Mode Tier List and Guide - Act 3
xWeMvBJ6tl4	47	52000	yes	The BEST RINGS in Baldur's Gate 3 - Honor Mode Tier List and Guide - Act 2
EoRrJ5kI2yk	52	87000	yes	The BEST RINGS in Baldur's Gate 3 - Honor Mode Tier List and Guide - Act 1
yGcfb0_dAEY	35	217000	no	The ONE SHOT LIGHTNING LORD - [Updated] BG3 Patch 7  Honour Mode Build Guide
G95xzy0OUt0	32	75000	no	The SHADOW ASSASSIN - Astarion / Dark Urge Patch 7 Rogue / Monk Honor Build Guide
0iB5F-09L5Q	39	59000	no	They BUFFED the STRONGEST CLASS? - Baldur's Gate 3 Patch 7 Review
23SPY6-dFfw	40	38000	yes	The BEST AMULETS in Baldur's Gate 3 - Honor Mode Tier List and Guide - Act 3
uomKPpHjEUo	42	43000	yes	The BEST AMULETS in Baldur's Gate 3 - Honor Mode Tier List and Guide - Act 2
PyWb31wejBA	45	76000	yes	The BEST AMULETS in Baldur's Gate 3 - Honor Mode Tier List and Guide - Act 1
m5gWwLqm02M	33	263000	no	The BEST ARCHER in Baldur's Gate 3 - [Updated] Honor Mode Build Guide
MSlweFy-RmI	40	46000	yes	Is EVERY Act 3 Helmet Awesome? - BG3 Helmets Tier List and Guide - Act 3
CFRVuQvGsn8	40	64000	yes	BAN These Items - BG3 Helmets Tier List and Guide - Act 2
Epsdb6XtHkI	53	94000	yes	The MOST BROKEN Item Slot in Baldur's Gate 3 - Helmets Tier List and Guide - Act 1
4naQFyHry2M	28	87000	no	Every Broken BG3 Effect In One Build - The RADIANT BRAWLER - Shadowheart Cleric / Monk Honor Guide
K--zIJJJotI	65	80000	yes	The BEST BOOTS in Baldur's Gate 3 - Complete Tier List and Guide
O6gYkXLl9rk	31	36000	no	The RIZZADIN - Charisma Paladin WITHOUT Warlock?! - Minthara Honor Build Guide
_yHOS55NOjY	51	53000	yes	The BEST GLOVES In BG3 COMPLETE - Honor Mode Tier List and Guide - Act 3
e4bPma5G_dQ	41	48000	yes	The BEST GLOVES In Baldur's Gate 3 - Honor Mode Tier List and Guide - Act 2
nnmJWxi_IzA	51	90000	yes	The MOST IMPORTANT ITEMS in BG3 - Gloves Tier List and Guide - Act 1
N2hgyD8BcFw	34	250000	no	The INVINCIBLE TANK WIZARD - [Updated] Gale Abjuration Honor Build Guide
MbZ0r-Tfixg	40	99000	yes	The COOLEST ITEMS in BG3 - Complete Cloak Tier List and Guide
5wATdII3wmI	49	117000	yes	The BEST SHIELDS in Baldur's Gate 3 - Complete Tier List and Guide
7-K743ByJug	67	241000	yes	The BEST ARMOUR in Baldur's Gate 3 - Complete Guide to Armour
kmos-qryuF4	40	229000	no	BREAK THE LOCK(ADIN) - [Updated] BG3 Minthara / Wyll Paladin / Warlock Honour Build Guide
VjmWkRCoDWE	59	89000	yes	BG3'S STRONGEST ARMOR - Heavy Armor Tier List - Honour Mode Guide - Part 4
5Sbj8DDA04o	65	75000	yes	BG3'S BEST ARMOR - Medium Armor Tier List - Honour Mode Guide - Part 3
YsQlQcxhnFQ	48	57000	yes	ARMOR TIER LIST - Light Armour - Baldur's Gate 3 Honour Mode Guide - Part 2
TwFGCc8OOfw	60	108000	yes	ARMOR TIER LIST - Robes, Clothes, and Cloth - BG3 Honour Mode Guide - Part 1
mIUmPGghbpA	31	57000	no	THE TRAMPLER - AoE Stun EVERY ATTACK - BG3 Karlach Elk Barbarian Honor Build Guide
wrhXqGxqjw4	37	82000	no	The BLADE OF FRONTIERS - Detailed Lore Friendly Wyll Honor Build Guide
sdtjPTEr8OA	35	31000	no	EXPLODE BRAINS with the GENIUS FIGHTER - BG3 Honor Build Guide
dS7KgN6aSns	29	36000	no	The Sneaky Power of ILLUSION WIZARD - BG3 Gale Honor Build Guide
bX5paFDOGDU	40	277000	no	The BEST MONK in Baldur's Gate 3 - [Updated] Honour Build Guide
S0DmwQq_KIw	23	18000	no	The FUNNIEST BUILD in Baldur's Gate 3 - The Salami Slinger
6i-Rpr9ziqs	68	97000	no	The BEST MELEE PARTY In Baldur's Gate 3 - Honour Mode Full Party Build Guide
M1cJhqDWT9k	30	57000	no	The IMMORTAL DODGE TANK - Karlach / Barbarian / Rogue Honour Build Guide
gKJmVlKMntU	46	298000	no	The BEST BARD in Baldur's Gate 3 - [Updated] Detailed Honor Build Guide
CWTfa6CETiI	31	41000	no	The WHIRLING DEATH - Bg3 Minsc Melee Ranger Honour Build Guide
pLI9kZjJHQw	35	104000	no	The ALMIGHTY SORCADIN - Bg3 Minthara / Paladin / Sorcerer Honour Build Guide
rpVrXn3Rl7k	51	88000	yes	ELITE ILLITHID POWERS Tier List - It's ASTRAL TADPOLE TIME - BG3 Honour Mode Guide - Part 2
9af1gYSpXK4	50	249000	yes	ILLITHID POWERS Tier List - It's TADPOLE TIME - BG3 Honour Mode Guide - Part 1
SZYnp9AppYk	44	202000	no	The BEST ROGUE in Baldur's Gate 3 - [Updated] Astarion Honour Build Guide
tSOBahi6_Sg	24	28000	no	The RAGING BarBEARian - BG3 Halsin  Druid / Barbarian / Rogue Tank Build Guide
zJ_srlllxr0	31	99000	no	The SWORD DRUID - BG3 Jaheira Honour Mode Build Guide - Support, Tank and Damage!
bwo3L5vS1L4	30	41000	no	The ELDRITCH ARCHER - Bg3 Lae'zel Honour Build Guide
5yTLH3BWrW0	28	139000	no	The 5 WORST TOOLTIPS in Baldur's Gate 3 - And What They Actually Do
cXrUWY4fPFU	26	26000	no	The ALCHEMICAL GRENADIER - Finally Use Those Items! - BG3 Build Guide
01A_BHMeLQU	37	259000	no	The BEST PALADIN in Baldur's Gate 3 - [Updated] Minthara Honour Build Guide
-gnyG9gH-no	35	569000	no	The BEST CHARACTER in Baldur's Gate 3 - Swords Bard Archer Honour Build Guide
bGupbGD2Fw0	61	578000	no	The 11 BEST BUILDS in Baldur's Gate 3 - Honour Mode Guide
Ke2Kbtd-8Do	85	38000	yes	COMPLETE Consumables Guide  - EVERY Consumable Item Ranked - BG3 Honour Mode Tier List
_MJwdRd8koY	42	346000	no	The BEST SORCERER in Baldur's Gate 3 - [Updated] Honour Build Guide
kxTZtj7SY84	48	42000	yes	SECRET BONUS TIER LIST - Barrels, Satchels, and Fireworks - BG3 Honour Mode Guide
6TdhnnPbupo	53	116000	yes	POISONS, OILS, AND COATINGS Tier List - Get Those Weapons Working! - BG3 Honour Mode Guide
ZMCimWeIxCk	52	180000	yes	ARROWS Tier List - For Archers and Non-Archers Alike! - BG3 Honour Mode Guide
o2E12wCBgNU	39	217000	no	The BEST DRUID in Baldur's Gate 3 - [Updated] Jaheira / Halsin Honour Build Guide
VL49XCJgYno	54	72000	yes	GRENADES TIER LIST - Throwables Ranked - BG3 Honour Mode Guide
F5vMB5hAubA	30	24000	no	The POISON CLOUD PUMMELER - Hilarious BG3 Druid / Paladin Honour Build Guide
HygsHA55jNU	56	88000	yes	POTIONS Tier List - Finally Use That Stockpile! - BG3 Honour Mode Guide
9BcQXb37Bik	61	233000	yes	Elixir Tier List - BG3'S MOST BROKEN Mechanic Ranked! - Honour Mode Guide
4ZQ5gIvvQNQ	42	122000	no	The BEST RANGER in Baldur's Gate 3 - [Updated] Minsc Honour Build Guide
m2F7dNXEwNc	75	182000	no	The BEST EVIL PARTY In BG3 - Honour Mode Darkness Party Build Guide
uQdKu5UTGa8	33	32000	no	The ONE TURN KILLER - Maximize Single Turn Damage - Astarion Honour Build Guide
6-7deP6ejL0	36	302000	no	The BEST FIGHTER in Baldur's Gate 3 - [Updated] Lae'zel Honour Build Guide
So4c5WGbXxE	37	39000	no	JACK OF ALL TRADES on HONOUR - BG3 One Of Every Class Honour Build Guide
RlJ10xrMybE	29	32000	no	The COMBAT LIBRARIAN - BG3's Secret Best Caster - Honour Build Guide
blGzDUxBY94	31	339000	no	The BEST BARBARIAN in Baldur's Gate 3 - [Updated] Karlach Honour Build Guide
YC0bSuEtc80	29	146000	no	ANNIHILATE BOSSES - BG3 Shadowheart / Cleric / Paladin Honour Build Guide
qZnJ0xtrZGg	42	226000	no	The BEST WARLOCK in Baldur's Gate 3 - Wyll Honour Build Guide
IC1WiOi_nYQ	76	227000	no	The BEST DAMAGE PARTY In BG3 - Honor Mode Full Offense Party Build Guide
Ni8rrKcrMqs	31	43000	no	The CLASSIC MONK - BG3 Dex Monk / Astarion Honour Build Guide
WnSXtg5rsjk	46	309000	no	The BEST WIZARD in Baldur's Gate 3 - [Updated] Gale Honour Build Guide
tMWoPVRxKa4	40	109000	no	The MOST FUN Character in Baldur's Gate 3 - Wild Magic Sorcerer Honour Build Guide
2eyHnglW3yI	33	72000	no	The PERFECT STRATEGIST - BG3 Wyll / Warlock / Bard  Build Guide
